Копелєва,Копелева,,10,
Коротєєва,Коротеева,,10,
Корхмазєв,Корхмазев,,10,
Корхмазєва,Корхмазева,,10,
Космодаміанський,Космодемьянский,,10,
Кособукіна,Кособукина,,10,
Костиркін,Костыркин,,10,
Кочар'янц,Кочарьянц,Кочерьянц,10,
Кржевін,Кржевин,,10,
Кринглі,Крингли,,10,
Кунаєва,Кунаева,,10,
Куртінайтіс,Куртинайтис,,10,
Куріат,Куриат,,10,
Куусінен,Куусинен,,10,
Кучмінський,Кучминский,,10,
Кюстін,Кюстин,,10,
Кільчевська,Кильчевская,,10,
Кіпренська,Кипренская,,10,
Кістяківська,Кистяковская,Костяковская,10,
Кітинг,Китинг,,10,
Ладивір,Ладивир,,10,
Лебєдь,Лебедь,,10,
Леванєвська,Леваневская,,10,
Лепелетьє,Лепелетье,,10,*
Липківська,Липковская,,10,
Лошадкін,Лошадкин,,10,
Ляйбніц,Ляйбниц,Лейбниц,10,
Лілберн,Лилберн,,10,
Лінецька,Линецкая,,10,
Ліхова,Лиховая,,10,
Лішко,Лишко,,10,
Мак-Кормік,Мак-Кормик,,10,
Малахівська,Малаховская,,10,
Малахівський,Малаховский,,10,
Марзоєв,Марзоев,,10,
Марцінкевич,Марцинкевич,,10,
Марчульоніс,Марчульонис,,10,
Масалієва,Масалиева,,10,
Меддєші,Меддеши,,10,
Менрі,Менри,,10,
Мигрін,Мигрин,,10,
Млодінов,Млодинов,,10,
Многогрішна,Многогришна,Многогрешная,10,
Мосціцька,Мосцицкая,,10,
Мінарченко,Минарченко,,10,
Міхновська,Михновская,,10,
Мішутін,Мишутин,,10,
Навакатікян,Навакатикян,,10,
Невелєв,Невелев,,10,
Невелєва,Невелева,,10,
Нетесін,Нетесин,,10,
Неєдла,Неедлая,,10,
Неєдлий,Неедлый,,10,
Носарєва,Носарева,,10,
Нуйкін,Нуйкин,,10,
Ньєрере,Ньерере,,10,
Ніковська,Никовская,,10,
Нікішов,Никишов,Никишев,10,
Нікішова,Никишова,Никишева,10,
Нісевич,Нисевич,,10,
Ніщинська,Нищинская,,10,
О'Доннель,О'Доннель,О'Доннел,10,
Овдокієнко,Овдокиенко,Евдокиенко,10,
Одоєвська,Одоевская,,10,
Окіпний,Окипный,,10,
Орбіньї,Орбиньи,,10,
Оссолінська,Оссолинская,,10,
Остаф'єв,Остафьев,Астафьев,10,
Остаф'єва,Остафьева,Астафьева,10,
Панібудьласка,Панибудьласка,,10,
Пелетмінська,Пелетминская,,10,
Перм'якова,Пермякова,,10,
Плісецький,Плисецкий,,10,
Покозій,Покозий,,10,
Поліньяк,Полиньяк,,10,
Порфіров,Порфиров,,10,
Пригодій,Пригодий,,10,
Пуліковська,Пуликовская,,10,
Пуліковський,Пуликовский,,10,
Пуркінє,Пуркине,,10,
Пухтій,Пухтий,,10,
Пучківська,Пучковская,,10,
Пучківський,Пучковский,,10,
Пєшковська,Пешковская,,10,
Пішегрю,Пишегрю,,10,
Райніс,Райнис,,10,
Ракочій,Ракочий,,10,
Расімзаде,Расимзаде,,10,
Рекам'є,Рекамье,,10,
Речмедін,Речмедин,,10,
Рудаківська,Рудаковская,,10,
Рудаківський,Рудаковский,,10,
Рютін,Рютин,,10,
Рябовіл,Рябовил,,10,
Рікберг,Рикберг,,10,
Савінкова,Савинкова,Саввинкова,10,
Савінкін,Савинкин,Саввинкин,10,
Сакій,Сакий,,10,
Сангелі,Сангели,,10,
Свєчников,Свечников,,10,
Свєчникова,Свечникова,,10,
Свіщук,Свищук,,10,
Севекін,Севекин,,10,
Сент-Дьйорді,Сент-Дьйорди,,10,
Сепір,Сепир,,10,
Серкіз,Серкиз,,10,
Серраті,Серрати,,10,
Сеченьї,Сеченьи,,10,
Скринник,Скрынник,,10,
Слаутін,Слаутин,,10,
Созінова,Созинова,,10,
Соткілава,Соткилава,,10,
Старожуків,Старожукив,Старожуков,10,
Стаськів,Стаськив,Стаськов,10,
Стахнів,Стахнив,Стахнов,10,
Сєраковська,Сераковская,,10,
Сіпайлов,Сипайлов,,10,
Сіпайлова,Сипайлова,,10,
Сіпхандон,Сипхандон,,10,
Тарадій,Тарадий,,10,
Тешебаєв,Тешебаев,,10,
Тимірязєв,Тимирязев,,10,
Томашівська,Томашевская,,10,
Томчаній,Томчаный,,10,
Травлєєв,Травлеев,,10,
Травлєєва,Травлеева,,10,
Туаєва,Туаева,,10,
Туглій,Туглый,,10,
Улітін,Улитин,,10,
Устроєв,Устроев,,10,
Устроєва,Устроева,,10,
Фадєєнко,Фадеенко,,10,
Фальєр,Фальер,,10,
Фрідрікссон,Фридрикссон,,10,
Фіалек,Фиалек,,10,
Філякін,Филякин,,10,
Фірстова,Фирстова,,10,
Халтурін,Халтурин,,10,
Хаєцька,Хаецкая,,10,
Хим'юк,Химюк,,10,
Ходієнко,Ходиенко,,10,
Хілевська,Хилевская,,10,
Хілевський,Хилевский,,10,
Цертелєва,Цертелева,,10,
Циковкін,Циковкин,,10,
Чабанівська,Чабановская,,10,
Чабанівський,Чабановский,,10,
Чибурданідзе,Чибурданидзе,,10,
Чипиркін,Чипиркин,,10,
Чурльоніс,Чурльонис,,10,
Шалугін,Шалугин,,10,
Шипнівська,Шипновская,,10,
Шипнівський,Шипновский,,10,
Шлежявічус,Шлежавичус,,10,
Шліфен,Шлифен,,10,
Шотіков,Шотиков,,10,
Шотікова,Шотикова,,10,
Шупіков,Шупиков,,10,
Шупікова,Шупикова,,10,
Щепотьєв,Щепотьев,,10,
Щоголєва,Щеголева,,10,
Юозайтіс,Юозайтис,,10,
Явлінська,Явлинская,,10,
Квіт,Квит,,8,
Рижкова,Рыжкова,,8,
Русько,Русько,,8,
Склодовська-Кюрі,Склодовская-кюри,,8,
Тютюнник,Тютюнник,,8,
Філіпов,Филиппов,Филипов,8,
Філіпова,Филиппова,Филипова,8,
Яворівська,Яворовская,Яворивская,8,
Бородіна,Бородина,,7,
Вільямс,Вильямс,Уильямс,7,
Лесів,Лесив,,7,
Андронаті,Андронати,,6,
Вдовиченко,Вдовиченко,,6,
Доній,Доний,,6,
Карно,Карно,,6,
Карпенко-Карий,Карпенко-Карый,,6,
Козакова,Козакова,Казакова,6,
Куліш,Кулиш,Кулеш,6,
Нехода,Нехода,,6,
Правик,Правик,,6,
Приходько,Приходько,,6,
Торська,Торская,,6,
Удовиченко,Удовиченко,Вдовиченко,6,
Цибань,Цыбань,Цибань,6,
Бабакова,Бабакова,,5,
Жижка,Жижка,,5,
Князенко,Князенко,,5,
Левкович,Левкович,,5,
Непер,Непер,,5,
Сотниченко,Сотниченко,,5,
Єнджеєвич,Энжеевич,,4,
Єригін,Ерыгин,,4,
Єрьомін,Еремин,,4,
Єрьоміна,Еремина,,4,
Ізмаїльська,Измаильская,Измаилская,4,
Іскрицький,Искрицкий,,4,
Аліг'єрі,Алигьери,,4,
Андрієвська,Андриевская,,4,
Безу,Безу,,4,
Бусел,Бусел,,4,
Бєлінська,Белинская,,4,
Вієльгорський,Виельгорский,,4,
Георгієвська,Георгиевская,,4,
Дідківська,Дедковская,,4,
Каблукова,Каблукова,,4,
Коженьовська,Коженевская,,4,
Крижанівська,Крыжановская,,4,
Кропив'янський,Кропивянский,Кропивьянский,4,
Омелько,Омелько,,4,
Пахльовська,Пахлевская,,4,
Писаренко,Писаренко,,4,
Порфірова,Порфирова,,4,
Підвисоцька,Подвысоцкая,,4,
Радзієвська,Радзиевская,,4,
Реброва,Реброва,,4,
Собеська,Собеская,,4,
Сотникова,Сотникова,,4,
Чумакова,Чумакова,,4,
Євстигнєєв,Евстигнеев,,3,
Євстигнєєва,Евстигнеева,,3,
Єзерська,Езерская,,3,
Єремєєв,Еремеев,,3,
Єремєєва,Еремеева,,3,
Єрьоменко,Еременко,,3,
Івановська,Ивановская,,3,
Ізмаїльський,Измаильский,,3,
Іллєнко,Ильенко,,3,
Ільницька,Ильницкая,,3,
Авдієвський,Авдеевский,Авдиевский,3,
Адамова,Адамова,,3,
Альохін,Алехин,,3,
Андрієвський,Андриевский,,3,
Бантиш-Каменська,Бантыш-Каменская,,3,
Басілашвілі,Басилашвили,,3,
Баттістіні,Баттистини,,3,
